,#,Name,ID,Type,Std. Conc,RT,Area,IS Area,Response,Primary Flags,ng/mL,%Dev,S/N,%Rec,Sample number,Acq.Time,Acq.Date
178,178,VAL_24AGO2020_185,PCA 6,QC,7760.615,1.04,125187,5892,21.2473,bb,7627.109,-1.72,4904,98.28,,1:57:01,25-Aug-20
179,179,VAL_24AGO2020_186,PCM 1,QC,4384.747,1.04,70840,6010,11.7872,bb,4230.965,-3.51,7838,96.49,,1:59:51,25-Aug-20
180,180,VAL_24AGO2020_187,PCM 2,QC,4384.747,1.03,73522,6182,11.892,bb,4268.570,-2.65,16872,97.35,,2:02:41,25-Aug-20
181,181,VAL_24AGO2020_188,PCM 3,QC,4384.747,1.04,72275,6040,11.9657,bb,4295.033,-2.05,4346,97.95,,2:05:30,25-Aug-20
182,182,VAL_24AGO2020_189,PCM 4,QC,4384.747,1.04,72712,6236,11.6604,bb,4185.419,-4.55,10539,95.45,,2:08:20,25-Aug-20
183,183,VAL_24AGO2020_190,PCM 5,QC,4384.747,1.04,72884,6080,11.9883,bb,4303.128,-1.86,8346,98.14,,2:11:10,25-Aug-20
184,184,VAL_24AGO2020_191,PCM 6,QC,4384.747,1.04,73609,6123,12.0225,bb,4315.434,-1.58,11191,98.42,,2:14:00,25-Aug-20
185,185,VAL_24AGO2020_192,PCB 1,QC,61.386,1.04,1045,6387,0.1636,bb,58.092,-5.37,341,94.63,,2:16:49,25-Aug-20
186,186,VAL_24AGO2020_193,PCB 2,QC,61.386,1.04,1065,6254,0.1702,bb,60.463,-1.5,380,98.5,,2:19:39,25-Aug-20
187,187,VAL_24AGO2020_194,PCB 3,QC,61.386,1.04,1029,6502,0.1583,bb,56.189,-8.47,510,91.53,,2:22:29,25-Aug-20
188,188,VAL_24AGO2020_195,PCB 4,QC,61.386,1.04,1071,6361,0.1684,bb,59.809,-2.57,1903,97.43,,2:25:18,25-Aug-20
189,189,VAL_24AGO2020_196,PCB 5,QC,61.386,1.04,1068,6307,0.1693,bb,60.124,-2.06,1936,97.94,,2:28:08,25-Aug-20
190,190,VAL_24AGO2020_197,PCB 6,QC,61.386,1.04,1052,6414,0.164,bb,58.240,-5.13,974,94.87,,2:30:58,25-Aug-20
